id,etf_code,date,start_price,last_price,weekly_return,monthly_return
1,459580,2025-04-25,1067820,1068370,0.05,0.25
2,360750,2025-04-25,18840,19680,4.46,-6.57
3,069500,2025-04-25,33385,34255,2.61,-3.66
4,488770,2025-04-25,102580,102640,0.06,0.28
5,357870,2025-04-25,55955,55980,0.04,0.24
6,133690,2025-04-25,116340,123350,6.03,-6.4
7,379800,2025-04-25,17330,18095,4.41,-6.56
8,423160,2025-04-25,110060,110115,0.05,0.25
9,273130,2025-04-25,119450,119465,0.01,1.28
10,449170,2025-04-25,108565,108625,0.06,0.25
11,381170,2025-04-25,19560,21075,7.75,-7.5
12,455890,2025-04-25,54040,54075,0.06,0.32
13,122630,2025-04-25,14650,15435,5.36,-8.64
14,102110,2025-04-25,33315,34205,2.67,-3.62
15,278530,2025-04-25,11740,12050,2.64,-3.75
16,379810,2025-04-25,17435,18515,6.19,-6.4
17,481050,2025-04-25,1023230,1023780,0.05,0.25
18,381180,2025-04-25,14460,15960,10.37,-12.04
19,453850,2025-04-25,7815,7820,0.06,-1.87
20,233740,2025-04-25,6985,7215,3.29,0.7
21,310970,2025-04-25,13890,14245,2.56,-4.01
22,458730,2025-04-25,11625,11760,1.16,-9.81
23,360200,2025-04-25,19020,19870,4.47,-6.6
24,371460,2025-04-25,8965,9615,7.25,-8.52
25,453540,2025-04-25,54785,54815,0.05,0.39
26,214980,2025-04-25,114235,114305,0.06,0.36
27,385540,2025-04-25,110895,111010,0.1,1.39
28,367380,2025-04-25,19945,21170,6.14,-6.35
29,411060,2025-04-25,21450,21755,1.42,7.78
30,229200,2025-04-25,11780,11980,1.7,1.27
31,476550,2025-04-25,8215,8225,0.12,-2.19
32,494900,2025-04-25,51005,51035,0.06,0.38
33,148020,2025-04-25,33640,34515,2.6,-3.72
34,102780,2025-04-25,8185,8310,1.53,-3.48
35,477080,2025-04-25,103635,103685,0.05,0.25
36,252670,2025-04-25,2300,2180,-5.22,4.81
37,475630,2025-04-25,1042010,1042555,0.05,0.26
38,491080,2025-04-25,102355,102420,0.06,0.36
39,457480,2025-04-25,11345,12355,8.9,-11.81
40,458760,2025-04-25,9750,9840,0.92,-9.31
41,371160,2025-04-25,7700,8190,6.36,-9.55
42,305720,2025-04-25,10725,11070,3.22,-11.12
43,292150,2025-04-25,10235,10530,2.88,-9.11
44,379780,2025-04-25,16395,17135,4.51,-6.59
45,476810,2025-04-25,10522,10530,0.08,0.38
46,451540,2025-04-25,57220,57280,0.1,1.44
47,368590,2025-04-25,19290,20470,6.12,-6.4
48,305540,2025-04-25,13155,13545,2.96,-10.18
49,436140,2025-04-25,115805,115920,0.1,1.43
50,466920,2025-04-25,20945,22795,8.83,24.12
51,157450,2025-04-25,110160,110215,0.05,0.28
52,294400,2025-04-25,42655,43820,2.73,-3.58
53,446720,2025-04-25,10670,10790,1.12,-9.74
54,449450,2025-04-25,36000,36785,2.18,14.56
55,458250,2025-04-25,38545,38955,1.06,-3.86
56,356540,2025-04-25,109245,109415,0.16,1.45
57,469830,2025-04-25,53015,53017,0.0,0.3
58,315930,2025-04-25,20170,20845,3.35,-8.33
59,161510,2025-04-25,14735,15240,3.43,1.44
60,449180,2025-04-25,12300,12720,3.41,-4.54
